"Unit","Year","Period","Oper Unit","Dept","Account","Sub Acct","Product","Monetary Amount (Base)","Currency (Base)","Date","Source","Journal Line Description","Journal ID","Ledger","Status","DateTime","Foreign Amount","Foreign Currency"
"HJLLC","2024","10","9000","00000","106400","","","41389.620","USD","10/01/2024","H14","4000.10 Balboa Capital AP Pymt","0000928887","ACTUALS","P","10/18/2024  9:57:23AM","41389.620","USD"
"HJLLC","2024","10","9000","00000","106400","","","6324126.660","USD","10/21/2024","H06","117 B of A CC Trans","0000930277","ACTUALS","P","10/21/2024 10:02:06AM","6324126.660","USD"
"HJLLC","2024","10","9000","00000","106400","","","-2000000.000","USD","10/24/2024","H06","153 Record  I/C Transfer LSC","0000930593","ACTUALS","P","10/24/2024  1:56:36PM","-2000000.000","USD"
"HJLLC","2024","10","9000","00000","106400","","","-500000.000","USD","10/24/2024","H06","153 Record  I/C Transfer LSC","0000930593","ACTUALS","P","10/24/2024  1:56:36PM","-500000.000","USD"
"HJLLC","2024","10","9000","00000","106400","","","-1500000.000","USD","10/29/2024","S05","153 Record  I/C Transfer LSC","0000931074","ACTUALS","P","10/29/2024  2:41:10PM","-1500000.000","USD"
"HJLLC","2024","10","9000","00000","106400","","","3666316.230","USD","10/29/2024","H06","117 B of A CC Trans","0000931053","ACTUALS","P","10/29/2024  2:34:45PM","3666316.230","USD"
"HJLLC","2024","10","9000","00000","106400","","","-698808.930","USD","10/31/2024","AP","","APP0930013","ACTUALS","P","10/16/2024  4:39:26PM","-698808.930","USD"
"HJLLC","2024","10","9000","00000","106400","","","-1404925.970","USD","10/31/2024","AP","","APP0930079","ACTUALS","P","10/17/2024 10:02:25AM","-1404925.970","USD"
"HJLLC","2024","10","9000","00000","106400","","","-200.000","USD","10/31/2024","AP","","APP0930279","ACTUALS","P","10/21/2024  4:41:48PM","-200.000","USD"
"HJLLC","2024","10","9000","00000","106400","","","-132046.600","USD","10/31/2024","AP","","APP0930279","ACTUALS","P","10/21/2024  4:41:48PM","-132046.600","USD"
"HJLLC","2024","10","9000","00000","106400","","","-666050.090","USD","10/31/2024","AP","","APP0930568","ACTUALS","P","10/24/2024 10:31:54AM","-666050.090","USD"
"HJLLC","2024","10","9000","00000","106400","","","-166540.730","USD","10/31/2024","AP","","APP0930569","ACTUALS","P","10/24/2024 10:57:51AM","-166540.730","USD"
"HJLLC","2024","10","9000","00000","106400","","","-350.000","USD","10/31/2024","AP","","APP0930595","ACTUALS","P","10/24/2024  1:58:02PM","-350.000","USD"
